"","name","address (S)","latitude (N)","longitude (N)","clusterInstance"
"1","University of Illinois at Chicago - Student Center West","Student Residence Hall, Chicago, IL 60612",41.871103,-87.6745017,1
"2","600 W Chicago","600 W Chicago Ave, Chicago, IL 60654",41.8975186,-87.6450724,1
"3","Chase Tower","Chase Tower, 111 E Wisconsin Ave, Milwaukee, WI 53202",43.0379231,-87.9093525,2
"4","7-Eleven @ Kingsbury and Ontario","645 N Kingsbury St, Chicago, IL 60654",41.8933902,-87.6410962,1
"5","Feinberg Pavilion - Northwestern Medicine","251 E Huron St, Chicago, IL 60611",41.8946401,-87.6211275,1
"6","Chicago Midway Airport - Ticketing Employee Lounge","5700 S Cicero Ave, Chicago, IL",41.7883501,-87.741842,1
"7","DeVry Chicago Campus (Students/Staff Only)","3300 N Campbell Ave, Chicago, IL 60618",41.942132,-87.691461,1
"8","525 W Monroe","525 W Monroe St, Chicago, IL 60661",41.8801934,-87.6401187,1
"9","200 W Jackson (Tenants Only)","200 W Jackson Blvd, Chicago, IL  60606",41.878511,-87.634277,1
"10","Allstate HQ (Tenants Only)","3075 Sanders Rd, Northbrook, IL  60062",42.09674,-87.870095,1
"11","CVS @ 137 State","137 S State St, Chicago, IL 60603",41.8796828,-87.6272829,1
"12","West Suburban Medical Center","1 Erie St, Oak Park, IL 60302",41.8913716,-87.7761143,1
"13","Merchandise Mart","222 W Merchandise Mart Pl, Chicago, IL 60654",41.888221,-87.635419,1
"14","American Airlines Lounge (Employees Only)","10000 Ohare Ave, Chicago, IL 60666",41.978568,-87.9082054,1
"15","Medical College of Wisconsin","8701 W Watertown Plank Rd, Milwaukee, WI 53226",41.8969173,-87.6435474,1
"16","100 E Wisconsin","100 East Wisconsin, 100 E Wisconsin Ave, Milwaukee, WI 53202",43.0389389,-87.9095663,2
"17","O'Hare 3H Left","10000 Ohare Way, Chicago, IL 60666",41.9744812,-87.9094719,1
"18","CME Center","30 S Wacker Dr, Chicago, IL 60606",41.8813392,-87.6375575,1
"19","Illinois Center","111 E Upper Wacker Dr, Chicago, IL 60601",41.8876736,-87.6236084,1
"20","Schlitz Park Rivercenter","1555 N Rivercenter Dr, Milwaukee, WI 53212",43.050891,-87.910165,2
"21","US Foods (Employees Only)","9377 W Higgins Rd, Rosemont, IL 60018",41.9886856,-87.8578175,1
"22","North Park University","3225 W Foster Ave, Chicago, IL 60625",41.8969173,-87.6435474,1
"23","Epic Burger West Loop","550 W Adams St, Chicago, IL 60661",41.8795147,-87.6417299,1
"24","University of Wisconsin-Milwaukee EMS Building","3200 N Cramer St, Milwaukee, WI 53211",43.0758306,-87.8857607,2
"25","311 S Wacker (Tenants Only)","311 S Wacker Dr, Chicago, IL 60606",41.877458,-87.635963,1
"26","MacNeal Hospital","3249 S Oak Park Ave, Berwyn, IL 60402",41.84327,-87.793133,1
"27","General Growth Properties HQ (Employees Only)","110 N Upper Wacker Dr, Chicago, IL 60606",41.883801,-87.6374336,1
"28","University of Illinois at Chicago - College of Medicine","835 S Wolcott Ave, Chicago, IL 60612",41.8706072,-87.6734143,1
"29","Prentice Women`s Hospital - Northwestern Medicine","250 E Superior St, Chicago, IL 60611",41.896332,-87.62095,1
"30","DePaul University - Schmitt Academic Center","2320 N Kenmore Ave, Chicago, IL 60614",41.924,-87.655134,1
"31","University of Illinois at Chicago - Behavioral Sciences","1007 W Harrison Street, Chicago, IL 60607",41.8735982,-87.6529995,1
"32","CNA Center (Employees Only)","333 S Wabash Ave, Chicago, IL 60604",41.8773837,-87.6255692,1
"33","University of Illinois at Chicago - Richard J Daley Library (Students/Staff Only)","801 S Morgan Avenue, Chicago, IL 60607",41.871871,-87.6504857,1
"34","Chicago Midway Airport - Southwest Employee Lounge","Midway International Airport, 5700 S Cicero Ave, Chicago, IL, USA",41.7883501,-87.741842,1
"35","Schaumburg Towers","1400 American Ln, Schaumburg, IL 60196",42.0453601,-88.0436918,2
"36","Loyola Medical Center","2160 S 1st Ave, Maywood, IL 60153",41.8605065,-87.8351127,1
"37","7-Eleven @ Jackson and Desplaines","627 W Jackson Boulevard, Chicago, IL 60661",41.8778687,-87.6436654,1
"38","Walgreens Corporate Office (Employees Only)","1435 Lake Cook Rd, Deerfield, IL 60015",42.1513812,-87.8644641,1
"39","Skokie Hospital / Northshore","9600 Gross Point Road, Skokie IL 60076",42.0563891,-87.7429858,1
"40","DeVry Addison (Students/Staff Only)","1221 N Swift Rd, Addison, IL 60101",41.94976,-88.038531,2
"41","CVS @ 344 Hubbard","344 W Hubbard St, Chicago, IL 60654",41.8901922,-87.6372236,1
"42","REI Building","1460 N Halsted Street, Chicago, IL 60642",41.907879,-87.648598,1
"43","Peggy Notebaert Nature Museum","2430 N Cannon Dr, Chicago, IL 60614",41.9267887,-87.6373734,1
"44","MillerCoors HQ","250 S Wacker Dr, Chicago, IL 60606",41.8783905,-87.6373008,1
"45","Good Samaritan Hospital","3815 Highland Ave, Downers Grove, IL 60515",41.8969173,-87.6435474,1
"46","Moraine Valley Community College: Police Academy- Building B","9000 College Pkwy, Palos Hills, IL 60465, USA",41.8969173,-87.6435474,1
"47","O'Hare Terminal 2 - Gate F6","10000 W Ohare Ave, Chicago, IL 60666",41.9742091,-87.906022,1
"48","Good Shepherd Hospital","450 IL-22, Barrington, IL 60010",42.196039,-88.1733328,2
